start_time,stop_time,annotation_str,annotation
0,10.0,others,8
10,53.0,catheter preparation,0
53,56.0,temporal removement of an artificial airway,1
56,69.0,suctioning phlegm,2
69,72.0,refitting the artificial airway,3
72,96.0,catheter disinfection,4
96,104.0,discarding gloves,5
104,124.0,catheter disinfection,4
124,161.0,auscultation,7
161,192.0,catheter preparation,0
192,196.0,temporal removement of an artificial airway,1
196,210.0,suctioning phlegm,2
210,217.0,refitting the artificial airway,3
217,245.0,catheter disinfection,4
245,250.0,discarding gloves,5
250,255.0,catheter disinfection,4
255,288.0,auscultation,7
288,296.0,others,8
