iter	MultiClass
0	1.999516514
1	1.857236394
2	1.735408741
3	1.632843634
4	1.561255326
5	1.488071586
6	1.426317884
7	1.374648494
8	1.330732351
9	1.289702341
10	1.249644656
11	1.219531749
12	1.190585815
13	1.162100799
14	1.135614257
15	1.114816321
16	1.096656987
17	1.076818703
18	1.059431724
19	1.046413387
20	1.02845924
21	1.01152076
22	1.000729703
23	0.9858984452
24	0.9717440588
25	0.9617725343
26	0.9523010951
27	0.9441189407
28	0.9306570941
29	0.9207578399
30	0.9124268643
31	0.9033484634
32	0.8937993858
33	0.8856141413
34	0.8789874784
35	0.8731276617
36	0.8660916539
37	0.8590552714
38	0.8522813646
39	0.8472173669
40	0.8420086136
41	0.8369952987
42	0.832126592
43	0.8255972853
44	0.8213554418
45	0.8169158704
46	0.813496172
47	0.8082549153
48	0.801491027
49	0.7986370598
50	0.7939327043
51	0.7862229863
52	0.7823403486
53	0.7792923571
54	0.7742124286
55	0.7681516057
56	0.7635539787
57	0.7570640942
58	0.754037201
59	0.7478215602
60	0.7430970672
61	0.7381257581
62	0.7345407464
63	0.7283176195
64	0.7246162836
65	0.7197478249
66	0.7166963717
67	0.7138461119
68	0.7115630872
69	0.7080359209
70	0.7036436737
71	0.7006050154
72	0.6976606639
73	0.6945667109
74	0.6918963435
75	0.6897753014
76	0.6864928319
77	0.6826149654
78	0.6801006881
79	0.6776671152
80	0.6745693135
81	0.6714303976
82	0.6688043083
83	0.6650602397
84	0.6625442991
85	0.6596330574
86	0.6574722239
87	0.6548744387
88	0.6513051227
89	0.6477072936
90	0.6455910693
91	0.6428021543
92	0.639829715
93	0.6346768907
94	0.6314468505
95	0.6283011118
96	0.6241560002
97	0.6230256258
98	0.6208953472
99	0.6170615884
100	0.6140274985
101	0.6111226071
102	0.60797994
103	0.6056642581
104	0.6019129578
105	0.5985151033
106	0.5966693957
107	0.5946583681
108	0.5920188958
109	0.5888408231
110	0.5859259866
111	0.5827899716
112	0.5801435649
113	0.5778005088
114	0.5745348909
115	0.5712691194
116	0.5692978278
117	0.5657909022
118	0.5648374885
119	0.5610380765
120	0.5566603304
121	0.5552554596
122	0.5526366292
123	0.5495685993
124	0.548300691
125	0.5453871057
126	0.5416548609
127	0.5381222639
128	0.5365663437
129	0.535109762
130	0.5327525558
131	0.5308050441
132	0.5288121312
133	0.5260036475
134	0.5238916511
135	0.522156381
136	0.5193874665
137	0.5176715496
138	0.5157083107
139	0.5146877493
140	0.5129965969
141	0.5111774438
142	0.5093084381
143	0.5082001401
144	0.5056725033
145	0.5033935057
146	0.502255701
147	0.5010385647
148	0.4992149268
149	0.4976590749
150	0.4950462999
151	0.4931396841
152	0.4910175637
153	0.4890489459
154	0.4863922667
155	0.4842204436
156	0.4816560593
157	0.4797596704
158	0.4782811002
159	0.4768306856
160	0.475159771
161	0.4736658659
162	0.4717756268
163	0.4705601419
164	0.4689868671
165	0.4672139954
166	0.4657463988
167	0.4630863222
168	0.4614616019
169	0.4589776177
170	0.456695809
171	0.4546704715
172	0.4523947231
173	0.4506080584
174	0.4491636258
175	0.4479543487
176	0.4463369139
177	0.4425486673
178	0.4399225312
179	0.4386562278
180	0.4376047104
181	0.4366157605
182	0.4343314072
183	0.4331289668
184	0.4322786244
185	0.431017568
186	0.4294378201
187	0.4279343116
188	0.4261128117
189	0.4250701403
190	0.4242627073
191	0.4226995826
192	0.4203636538
193	0.4193513182
194	0.4186440376
195	0.4172608757
196	0.4162557516
197	0.4152826683
198	0.4141993392
199	0.4131261441
200	0.4114440559
201	0.4104192116
202	0.4093492423
203	0.4075950192
204	0.4066088705
205	0.4053390337
206	0.4033545011
207	0.4025443614
208	0.4015543974
209	0.400765819
210	0.3992236873
211	0.3978239336
212	0.3960501543
213	0.394648399
214	0.3940618055
215	0.3920441184
216	0.3910347397
217	0.3898238151
218	0.3891711993
219	0.3879801519
220	0.386825319
221	0.384820786
222	0.3839114411
223	0.3828427639
224	0.3815730802
225	0.3802866574
226	0.3791268525
227	0.3778807309
228	0.376663031
229	0.3747816874
230	0.3736444574
231	0.3717553203
232	0.370066229
233	0.3691870464
234	0.3678358733
235	0.3663138963
236	0.3654538347
237	0.3643936355
238	0.3633596287
239	0.3621453215
240	0.3612401766
241	0.3602630216
242	0.3589032898
243	0.3577710313
244	0.3557853525
245	0.3540695475
246	0.3526580455
247	0.351371738
248	0.350453061
249	0.3490760645
250	0.347941917
251	0.3468513858
252	0.3457187634
253	0.3443030241
254	0.34283184
255	0.3420750369
256	0.3406822675
257	0.3397018903
258	0.3389057157
259	0.3371716704
260	0.3362792657
261	0.3350188605
262	0.3342425902
263	0.3336915299
264	0.3327838578
265	0.3318677013
266	0.3311949058
267	0.3301517571
268	0.3291363149
269	0.3279901355
270	0.3274830731
271	0.3263539876
272	0.3255909532
273	0.3246809655
274	0.3238640665
275	0.3234082983
276	0.3226395432
277	0.3218444096
278	0.3207713508
279	0.3200033352
280	0.3192503054
281	0.3177086665
282	0.3168721307
283	0.3158489918
284	0.3149719548
285	0.3139584566
286	0.3124642498
287	0.3120318236
288	0.3110171579
289	0.3102902743
290	0.3091348216
291	0.3080963582
292	0.3071562775
293	0.3065754008
294	0.3056350641
295	0.3050997085
296	0.3045924722
297	0.3036938369
298	0.3024824806
299	0.3017323888
300	0.3010605104
301	0.300424886
302	0.2995535067
303	0.2986650555
304	0.298083817
305	0.2971059625
306	0.2957292541
307	0.2944022028
308	0.2927789132
309	0.2923044469
310	0.2917362699
311	0.2905821504
312	0.2892637237
313	0.2887989745
314	0.2879377701
315	0.2873395372
316	0.286743333
317	0.2860555745
318	0.2849102039
319	0.2838284998
320	0.2831657417
321	0.282806096
322	0.2816941311
323	0.2810365854
324	0.2801982001
325	0.2796667968
326	0.2789238373
327	0.2783950033
328	0.2776311861
329	0.2771500241
330	0.2768485561
331	0.276379003
332	0.2753971291
333	0.2744404871
334	0.2735230742
335	0.2724922267
336	0.2712790465
337	0.2701894676
338	0.2694966431
339	0.2687570797
340	0.2680088476
341	0.2671007192
342	0.266471908
343	0.2657206537
344	0.2649689071
345	0.2645456377
346	0.2643357383
347	0.2639531392
348	0.2633698976
349	0.2626777952
350	0.2613938224
351	0.2607600016
352	0.2598773735
353	0.2590072995
354	0.2581620929
355	0.2576426772
356	0.2571324122
357	0.2564147083
358	0.256006299
359	0.2555089898
360	0.2550782388
361	0.2539335572
362	0.2532605278
363	0.2527004895
364	0.2523564343
365	0.2518184679
366	0.2512738656
367	0.2506702552
368	0.2501374005
369	0.2495982671
370	0.2487788767
371	0.2484271514
372	0.2478046751
373	0.2471985945
374	0.2454359182
375	0.2449608868
376	0.2441762029
377	0.2439018263
378	0.2434969689
379	0.2428537107
380	0.241926094
381	0.2414020184
382	0.2409038937
383	0.2403298536
384	0.2398996031
385	0.2395962762
386	0.2390276955
387	0.2386330608
388	0.2380324562
389	0.237481698
390	0.236711928
391	0.2363532893
392	0.2360999744
393	0.2353957611
394	0.234930946
395	0.2343800697
396	0.2338046175
397	0.233429602
398	0.2328269745
399	0.2325238283
400	0.2322386477
401	0.2318649907
402	0.2313704963
403	0.2309644673
404	0.230663264
405	0.2299657425
406	0.2293945564
407	0.2290381555
408	0.2287220396
409	0.2282814593
410	0.2277202603
411	0.2271631745
412	0.226308273
413	0.2257898076
414	0.2252106262
415	0.2247876373
416	0.2244561212
417	0.224185119
418	0.2237895422
419	0.2228472988
420	0.2224454909
421	0.2220668515
422	0.2219086871
