iter	Passed	Remaining
0	503	502634
1	754	376315
2	1010	335882
3	1247	310652
4	1470	292573
5	1693	280494
6	1936	274639
7	2185	271047
8	2409	265260
9	2653	262658
10	2886	259477
11	3121	257001
12	3347	254140
13	3596	253330
14	3813	250391
15	4048	248993
16	4288	248004
17	4516	246389
18	4757	245655
19	4985	244279
20	5214	243073
21	5446	242108
22	5674	241053
23	5908	240278
24	6176	240886
25	6412	240221
26	6676	240613
27	6973	242078
28	7248	242713
29	7505	242687
30	7742	242003
31	7968	241038
32	8212	240646
33	8444	239918
34	8694	239731
35	8938	239341
36	9163	238507
37	9403	238047
38	9627	237226
39	9852	236448
40	10135	237062
41	10399	237200
42	10637	236736
43	10872	236230
44	11135	236310
45	11445	237368
46	11700	237252
47	11930	236624
48	12175	236301
49	12410	235794
50	12666	235692
51	12932	235772
52	13169	235318
53	13400	234755
54	13637	234321
55	13888	234124
56	14152	234145
57	14382	233584
58	14610	233018
59	14846	232599
60	15085	232214
61	15308	231604
62	15537	231091
63	15780	230783
64	16009	230285
65	16250	229967
66	16480	229500
67	16724	229225
68	16952	228737
69	17255	229250
70	17491	228870
71	17742	228678
72	18054	229268
73	18296	228955
74	18547	228748
75	18767	228170
76	19001	227768
77	19265	227730
78	19501	227356
79	19718	226764
80	19964	226515
81	20212	226284
82	20460	226055
83	20705	225787
84	20941	225427
85	21187	225178
86	21408	224670
87	21643	224304
88	21897	224146
89	22117	223628
90	22335	223110
91	22577	222825
92	22804	222403
93	23056	222224
94	23316	222119
95	23536	221639
96	23791	221482
97	24063	221484
98	24352	221632
99	24638	221748
100	24880	221462
101	25104	221020
102	25335	220643
103	25561	220219
104	25781	219758
105	26021	219461
106	26250	219082
107	26479	218702
108	26721	218432
109	26949	218045
110	27201	217860
111	27465	217758
112	27733	217697
113	28024	217802
114	28302	217809
115	28531	217428
116	28756	217021
117	28989	216687
118	29226	216370
119	29486	216236
120	29731	215986
121	29998	215889
122	30306	216090
123	30612	216264
124	30901	216307
125	31155	216112
126	31401	215852
127	31642	215566
128	31906	215428
129	32140	215093
130	32378	214785
131	32631	214574
132	32864	214236
133	33092	213865
134	33327	213545
135	33538	213070
136	33778	212778
137	34006	212414
138	34265	212249
139	34494	211894
140	34736	211621
141	34983	211381
142	35235	211165
143	35472	210864
144	35720	210630
145	35958	210331
146	36186	209979
147	36405	209580
148	36632	209225
149	36859	208868
150	37089	208534
151	37313	208171
152	37543	207841
153	37791	207610
154	38026	207303
155	38254	206965
156	38494	206694
157	38723	206361
158	38940	205970
159	39152	205548
160	39371	205169
161	39589	204790
162	39822	204487
163	40037	204092
164	40273	203807
165	40533	203645
166	40771	203370
167	41047	203280
168	41303	203094
169	41556	202894
170	41821	202748
171	42061	202480
172	42338	202392
173	42586	202161
174	42829	201909
175	43057	201587
176	43287	201276
177	43543	201083
178	43789	200843
179	44023	200549
180	44263	200285
181	44503	200021
182	44747	199774
183	45003	199580
184	45250	199348
185	45476	199021
186	45727	198803
187	45991	198645
188	46295	198654
189	46637	198824
190	46928	198769
191	47203	198646
192	47456	198430
193	47718	198251
194	47969	198026
195	48232	197849
196	48464	197549
197	48689	197218
198	48917	196900
199	49144	196577
200	49378	196285
201	49627	196054
202	49880	195834
203	50127	195594
204	50382	195385
205	50618	195102
206	50848	194794
207	51100	194575
208	51339	194304
209	51557	193952
210	51793	193672
211	52034	193412
212	52280	193168
213	52546	192998
214	52782	192715
215	53045	192536
216	53280	192251
217	53508	191941
218	53733	191624
219	53967	191340
220	54212	191092
221	54483	190936
222	54721	190666
223	54952	190369
224	55194	190113
225	55490	190043
226	55784	189961
227	56088	189913
228	56354	189734
229	56656	189677
230	56916	189473
231	57182	189295
232	57430	189051
233	57692	188857
234	57928	188576
235	58185	188362
236	58427	188103
237	58667	187834
238	58909	187573
239	59183	187413
240	59455	187247
241	59697	186985
242	59952	186766
243	60249	186676
244	60531	186536
245	60792	186332
246	61049	186115
247	61337	185992
248	61669	185999
249	62014	186043
250	62325	185984
251	62640	185932
252	62900	185717
253	63180	185561
254	63450	185373
255	63682	185076
256	63955	184898
257	64206	184656
258	64448	184386
259	64725	184218
260	64987	184005
261	65224	183725
262	65473	183474
263	65721	183223
264	65964	182957
265	66211	182703
266	66493	182545
267	66754	182328
268	67004	182083
269	67284	181918
270	67505	181592
271	67748	181325
272	67990	181059
273	68217	180752
274	68434	180419
275	68651	180086
276	68877	179777
277	69092	179441
278	69333	179174
279	69563	178876
280	69784	178557
281	70023	178287
282	70246	177973
283	70470	177666
284	70686	177335
285	70908	177022
286	71138	176729
287	71355	176406
288	71591	176129
289	71853	175918
290	72111	175695
291	72359	175446
292	72608	175201
293	72865	174976
294	73091	174676
295	73323	174390
296	73539	174068
297	73777	173797
298	74021	173541
299	74257	173267
300	74499	173007
301	74734	172730
302	75003	172532
303	75265	172318
304	75474	171983
305	75707	171702
306	75936	171414
307	76170	171135
308	76423	170900
309	76635	170576
310	76852	170261
311	77079	169970
312	77311	169690
313	77527	169375
314	77758	169092
315	77979	168790
316	78192	168471
317	78407	168157
318	78638	167876
319	78861	167581
320	79081	167277
321	79290	166953
322	79534	166701
323	79756	166405
324	79998	166150
325	80217	165847
326	80451	165576
327	80663	165262
328	80885	164967
329	81119	164696
330	81337	164394
331	81561	164105
332	81832	163911
333	82085	163680
334	82367	163505
335	82607	163247
336	82871	163038
337	83125	162807
338	83353	162527
339	83574	162232
340	83797	161942
341	84033	161678
342	84261	161398
343	84502	161144
344	84731	160867
345	84963	160596
346	85174	160285
347	85408	160017
348	85635	159737
349	85856	159448
350	86096	159192
351	86326	158918
352	86549	158633
353	86768	158339
354	86990	158052
355	87209	157761
356	87422	157458
357	87639	157163
358	87861	156878
359	88143	156699
360	88376	156433
361	88614	156176
362	88843	155904
363	89076	155639
364	89293	155346
365	89516	155063
366	89728	154763
367	89944	154469
368	90162	154180
369	90383	153895
370	90609	153621
371	90869	153403
372	91136	153197
373	91382	152955
374	91616	152694
375	91844	152423
376	92095	152190
377	92319	151911
378	92538	151626
379	92807	151422
380	93038	151156
381	93285	150917
382	93519	150657
383	93743	150380
384	93956	150086
385	94173	149800
386	94390	149512
387	94611	149232
388	94848	148978
389	95066	148694
390	95294	148425
391	95524	148160
392	95742	147877
393	95985	147633
394	96217	147370
395	96442	147099
396	96661	146818
397	96877	146533
398	97092	146247
399	97311	145967
400	97527	145682
401	97756	145419
402	97979	145146
403	98220	144900
404	98442	144625
405	98670	144359
406	98898	144095
407	99113	143812
408	99329	143530
409	99547	143251
410	99773	142984
411	100002	142721
412	100251	142488
413	100492	142243
414	100745	142015
415	101021	141818
